#2019/10/19 13:24:31: Step time 1.0e-13, Num sims 25000, path: inversor_chain_5, tech: TSMC180, load: 32.00
#Logical Effort: 3.087000e-10, widths: [0.42e-6, 0.84e-6, 1.68e-6, 3.36e-6, 6.72e-6]
Tp, width[0], width[1], width[2], width[3], width[4], load width, Total width, ratio 0 to 1, ratio 1 to 2, ratio 2 to 3, ratio 3 to 4, ratio 4 to load, Average ratio (not including load), Average ratio (including load)
4.416000e-10, 0.42e-6, 0.79e-6, 0.76e-6, 0.65e-6, 0.80e-6, 1.344000e-05, 3.417147e-06, 1.89, 0.95, 0.86, 1.23, 16.81, 1.23, 4.35
4.080000e-10, 0.42e-6, 0.69e-6, 0.82e-6, 1.02e-6, 0.97e-6, 1.344000e-05, 3.916456e-06, 1.64, 1.20, 1.23, 0.95, 13.87, 1.26, 3.78
4.120000e-10, 0.42e-6, 0.44e-6, 0.68e-6, 1.42e-6, 0.99e-6, 1.344000e-05, 3.944643e-06, 1.06, 1.53, 2.08, 0.70, 13.64, 1.34, 3.80
3.738000e-10, 0.42e-6, 1.15e-6, 0.65e-6, 0.54e-6, 1.57e-6, 1.344000e-05, 4.326159e-06, 2.74, 0.56, 0.83, 2.91, 8.57, 1.76, 3.12
3.800000e-10, 0.42e-6, 1.86e-6, 0.97e-6, 0.76e-6, 1.72e-6, 1.344000e-05, 5.733333e-06, 4.43, 0.52, 0.79, 2.26, 7.81, 2.00, 3.16
3.727000e-10, 0.42e-6, 1.16e-6, 0.71e-6, 0.99e-6, 1.39e-6, 1.344000e-05, 4.668845e-06, 2.75, 0.62, 1.39, 1.40, 9.70, 1.54, 3.17
3.913000e-10, 0.42e-6, 1.23e-6, 0.56e-6, 1.75e-6, 1.39e-6, 1.344000e-05, 5.360707e-06, 2.93, 0.46, 3.13, 0.80, 9.64, 1.83, 3.39
3.858000e-10, 0.42e-6, 1.89e-6, 0.67e-6, 0.84e-6, 1.61e-6, 1.344000e-05, 5.426640e-06, 4.49, 0.35, 1.26, 1.90, 8.37, 2.00, 3.28
3.691000e-10, 0.42e-6, 1.67e-6, 0.72e-6, 0.64e-6, 2.30e-6, 1.344000e-05, 5.752353e-06, 3.97, 0.43, 0.89, 3.56, 5.85, 2.21, 2.94
3.499000e-10, 0.42e-6, 1.68e-6, 1.20e-6, 0.93e-6, 2.67e-6, 1.344000e-05, 6.907477e-06, 3.99, 0.72, 0.77, 2.87, 5.03, 2.09, 2.68
3.529000e-10, 0.42e-6, 2.36e-6, 2.09e-6, 1.57e-6, 4.01e-6, 1.344000e-05, 1.044440e-05, 5.62, 0.89, 0.75, 2.55, 3.36, 2.45, 2.63
3.514000e-10, 0.42e-6, 2.18e-6, 0.93e-6, 1.84e-6, 4.12e-6, 1.344000e-05, 9.483227e-06, 5.18, 0.43, 1.99, 2.23, 3.26, 2.46, 2.62
3.318000e-10, 0.42e-6, 1.29e-6, 1.46e-6, 1.09e-6, 3.04e-6, 1.344000e-05, 7.304388e-06, 3.08, 1.13, 0.75, 2.79, 4.42, 1.94, 2.43
3.331000e-10, 0.42e-6, 1.84e-6, 1.93e-6, 1.79e-6, 4.94e-6, 1.344000e-05, 1.091876e-05, 4.38, 1.05, 0.92, 2.77, 2.72, 2.28, 2.37
3.184000e-10, 0.42e-6, 1.29e-6, 1.13e-6, 1.82e-6, 3.77e-6, 1.344000e-05, 8.425324e-06, 3.06, 0.88, 1.61, 2.07, 3.57, 1.90, 2.24
3.116000e-10, 0.42e-6, 1.24e-6, 1.95e-6, 2.45e-6, 5.17e-6, 1.344000e-05, 1.123397e-05, 2.95, 1.58, 1.25, 2.11, 2.60, 1.97, 2.10
3.268000e-10, 0.42e-6, 1.74e-6, 3.18e-6, 2.67e-6, 5.27e-6, 1.344000e-05, 1.327931e-05, 4.14, 1.83, 0.84, 1.97, 2.55, 2.20, 2.27
3.279000e-10, 0.42e-6, 1.79e-6, 1.48e-6, 2.52e-6, 5.40e-6, 1.344000e-05, 1.160833e-05, 4.27, 0.82, 1.70, 2.14, 2.49, 2.24, 2.29
3.159000e-10, 0.42e-6, 1.29e-6, 3.01e-6, 4.35e-6, 6.02e-6, 1.344000e-05, 1.508660e-05, 3.06, 2.34, 1.45, 1.38, 2.23, 2.06, 2.09
3.349000e-10, 0.42e-6, 0.65e-6, 1.09e-6, 3.35e-6, 2.62e-6, 1.344000e-05, 8.130904e-06, 1.54, 1.69, 3.08, 0.78, 5.12, 1.77, 2.44
3.280000e-10, 0.42e-6, 1.67e-6, 2.77e-6, 4.06e-6, 3.92e-6, 1.344000e-05, 1.283600e-05, 3.97, 1.66, 1.47, 0.97, 3.43, 2.02, 2.30
3.194000e-10, 0.42e-6, 1.57e-6, 1.78e-6, 2.54e-6, 4.76e-6, 1.344000e-05, 1.108326e-05, 3.75, 1.13, 1.43, 1.87, 2.82, 2.05, 2.20
3.146000e-10, 0.42e-6, 1.03e-6, 1.39e-6, 3.64e-6, 7.22e-6, 1.344000e-05, 1.369710e-05, 2.46, 1.34, 2.62, 1.98, 1.86, 2.10, 2.05
3.166000e-10, 0.42e-6, 0.74e-6, 1.67e-6, 1.46e-6, 3.86e-6, 1.344000e-05, 8.143877e-06, 1.76, 2.27, 0.87, 2.64, 3.48, 1.88, 2.20
3.380000e-10, 0.42e-6, 2.08e-6, 3.71e-6, 2.90e-6, 6.58e-6, 1.344000e-05, 1.569384e-05, 4.95, 1.78, 0.78, 2.27, 2.04, 2.45, 2.37
3.211000e-10, 0.42e-6, 1.09e-6, 0.99e-6, 3.13e-6, 5.35e-6, 1.344000e-05, 1.097558e-05, 2.59, 0.91, 3.16, 1.71, 2.51, 2.09, 2.18
3.272000e-10, 0.42e-6, 1.75e-6, 2.16e-6, 4.70e-6, 5.97e-6, 1.344000e-05, 1.500053e-05, 4.17, 1.23, 2.17, 1.27, 2.25, 2.21, 2.22
3.220000e-10, 0.42e-6, 0.64e-6, 1.38e-6, 4.44e-6, 8.50e-6, 1.344000e-05, 1.537042e-05, 1.52, 2.15, 3.23, 1.91, 1.58, 2.20, 2.08
3.357000e-10, 0.42e-6, 2.21e-6, 2.93e-6, 4.15e-6, 6.14e-6, 1.344000e-05, 1.584766e-05, 5.26, 1.33, 1.42, 1.48, 2.19, 2.37, 2.33
3.166000e-10, 0.42e-6, 1.31e-6, 2.25e-6, 4.79e-6, 7.44e-6, 1.344000e-05, 1.620637e-05, 3.11, 1.72, 2.13, 1.56, 1.81, 2.13, 2.06
3.147000e-10, 0.42e-6, 0.92e-6, 2.31e-6, 4.61e-6, 5.41e-6, 1.344000e-05, 1.367553e-05, 2.19, 2.51, 2.00, 1.17, 2.48, 1.97, 2.07
3.266000e-10, 0.42e-6, 1.73e-6, 3.33e-6, 2.85e-6, 5.24e-6, 1.344000e-05, 1.357006e-05, 4.13, 1.92, 0.86, 1.84, 2.57, 2.19, 2.26
3.110000e-10, 0.42e-6, 0.74e-6, 1.12e-6, 3.05e-6, 5.79e-6, 1.344000e-05, 1.112157e-05, 1.75, 1.53, 2.72, 1.90, 2.32, 1.97, 2.04
3.401000e-10, 0.42e-6, 1.32e-6, 1.51e-6, 1.88e-6, 9.38e-6, 1.344000e-05, 1.451269e-05, 3.15, 1.14, 1.25, 4.98, 1.43, 2.63, 2.39
3.190000e-10, 0.42e-6, 0.71e-6, 2.06e-6, 4.77e-6, 8.22e-6, 1.344000e-05, 1.617407e-05, 1.68, 2.91, 2.32, 1.73, 1.63, 2.16, 2.05
3.153000e-10, 0.42e-6, 1.30e-6, 1.98e-6, 2.08e-6, 4.97e-6, 1.344000e-05, 1.074943e-05, 3.08, 1.53, 1.05, 2.40, 2.70, 2.01, 2.15
3.199000e-10, 0.42e-6, 1.08e-6, 1.84e-6, 3.80e-6, 10.82e-6, 1.344000e-05, 1.794598e-05, 2.56, 1.71, 2.06, 2.85, 1.24, 2.30, 2.09
3.177000e-10, 0.42e-6, 1.43e-6, 1.88e-6, 2.12e-6, 5.06e-6, 1.344000e-05, 1.090520e-05, 3.41, 1.31, 1.13, 2.39, 2.66, 2.06, 2.18
3.345000e-10, 0.42e-6, 0.65e-6, 1.50e-6, 5.84e-6, 10.47e-6, 1.344000e-05, 1.887625e-05, 1.55, 2.30, 3.89, 1.79, 1.28, 2.38, 2.16
3.222000e-10, 0.42e-6, 1.06e-6, 2.23e-6, 2.99e-6, 10.29e-6, 1.344000e-05, 1.699929e-05, 2.53, 2.09, 1.34, 3.44, 1.31, 2.35, 2.14
3.364000e-10, 0.42e-6, 1.20e-6, 0.95e-6, 1.74e-6, 8.13e-6, 1.344000e-05, 1.243596e-05, 2.85, 0.79, 1.84, 4.66, 1.65, 2.53, 2.36
3.319000e-10, 0.42e-6, 0.95e-6, 1.03e-6, 4.03e-6, 9.33e-6, 1.344000e-05, 1.575983e-05, 2.26, 1.09, 3.90, 2.32, 1.44, 2.39, 2.20
3.229000e-10, 0.42e-6, 1.42e-6, 1.60e-6, 4.05e-6, 8.00e-6, 1.344000e-05, 1.549155e-05, 3.38, 1.13, 2.53, 1.98, 1.68, 2.25, 2.14
