#2019/11/10 16:23:25: Step time 1.0e-13, Num sims 50000, path: inversor_chain_5, tech: TSMC180, load: 32.00
#Logical Effort: 3.087000e-10, widths: [0.42e-6, 0.84e-6, 1.68e-6, 3.36e-6, 6.72e-6]
Tp, width[0], width[1], width[2], width[3], width[4], load width, Total width, ratio 0 to 1, ratio 1 to 2, ratio 2 to 3, ratio 3 to 4, ratio 4 to load, Average ratio (not including load), Average ratio (including load)
3.069000e-10, 0.42e-6, 9.82e-6, 2.78e-6, 9.83e-6, 6.92e-6, 1.344000e-05, 2.976804e-05, 23.37, 0.28, 3.54, 0.70, 1.94, 6.97, 5.97
3.074000e-10, 0.42e-6, 5.99e-6, 7.11e-6, 6.24e-6, 10.47e-6, 1.344000e-05, 3.023339e-05, 14.26, 1.19, 0.88, 1.68, 1.28, 4.50, 3.86
3.092000e-10, 0.42e-6, 2.09e-6, 9.30e-6, 1.06e-6, 3.23e-6, 1.344000e-05, 1.609224e-05, 4.97, 4.45, 0.11, 3.05, 4.16, 3.15, 3.35
3.100000e-10, 0.42e-6, 7.52e-6, 1.54e-6, 2.58e-6, 11.66e-6, 1.344000e-05, 2.371404e-05, 17.90, 0.20, 1.68, 4.53, 1.15, 6.08, 5.09
3.111000e-10, 0.42e-6, 8.95e-6, 6.70e-6, 11.82e-6, 1.67e-6, 1.344000e-05, 2.956143e-05, 21.30, 0.75, 1.77, 0.14, 8.03, 5.99, 6.40
3.116000e-10, 0.42e-6, 4.45e-6, 4.45e-6, 13.34e-6, 0.95e-6, 1.344000e-05, 2.360323e-05, 10.59, 1.00, 3.00, 0.07, 14.11, 3.67, 5.75
3.118000e-10, 0.42e-6, 1.04e-6, 4.81e-6, 5.00e-6, 3.35e-6, 1.344000e-05, 1.461529e-05, 2.48, 4.62, 1.04, 0.67, 4.02, 2.20, 2.56
3.122000e-10, 0.42e-6, 11.98e-6, 2.90e-6, 12.81e-6, 0.99e-6, 1.344000e-05, 2.909025e-05, 28.51, 0.24, 4.42, 0.08, 13.58, 8.31, 9.37
3.127000e-10, 0.42e-6, 4.72e-6, 1.79e-6, 9.80e-6, 2.77e-6, 1.344000e-05, 1.950247e-05, 11.25, 0.38, 5.49, 0.28, 4.85, 4.35, 4.45
3.131000e-10, 0.42e-6, 6.73e-6, 2.36e-6, 2.03e-6, 3.95e-6, 1.344000e-05, 1.549153e-05, 16.03, 0.35, 0.86, 1.95, 3.40, 4.80, 4.52
3.133000e-10, 0.42e-6, 1.90e-6, 3.83e-6, 4.83e-6, 10.54e-6, 1.344000e-05, 2.151226e-05, 4.53, 2.01, 1.26, 2.18, 1.28, 2.50, 2.25
3.135000e-10, 0.42e-6, 9.26e-6, 4.13e-6, 7.95e-6, 5.24e-6, 1.344000e-05, 2.699889e-05, 22.04, 0.45, 1.93, 0.66, 2.57, 6.27, 5.53
3.143000e-10, 0.42e-6, 4.42e-6, 0.61e-6, 9.56e-6, 6.21e-6, 1.344000e-05, 2.122193e-05, 10.53, 0.14, 15.58, 0.65, 2.17, 6.72, 5.81
3.144000e-10, 0.42e-6, 1.11e-6, 10.98e-6, 2.70e-6, 9.86e-6, 1.344000e-05, 2.506647e-05, 2.64, 9.90, 0.25, 3.65, 1.36, 4.11, 3.56
3.146000e-10, 0.42e-6, 8.01e-6, 5.40e-6, 10.43e-6, 9.61e-6, 1.344000e-05, 3.387193e-05, 19.07, 0.67, 1.93, 0.92, 1.40, 5.65, 4.80
3.156000e-10, 0.42e-6, 1.95e-6, 6.64e-6, 0.83e-6, 6.91e-6, 1.344000e-05, 1.675038e-05, 4.64, 3.41, 0.12, 8.33, 1.95, 4.13, 3.69
3.157000e-10, 0.42e-6, 6.36e-6, 4.87e-6, 11.80e-6, 12.27e-6, 1.344000e-05, 3.573107e-05, 15.15, 0.77, 2.42, 1.04, 1.09, 4.85, 4.10
3.163000e-10, 0.42e-6, 8.65e-6, 3.63e-6, 7.29e-6, 4.26e-6, 1.344000e-05, 2.424988e-05, 20.61, 0.42, 2.01, 0.58, 3.16, 5.90, 5.35
3.166000e-10, 0.42e-6, 12.75e-6, 6.05e-6, 5.85e-6, 5.57e-6, 1.344000e-05, 3.063307e-05, 30.35, 0.47, 0.97, 0.95, 2.41, 8.19, 7.03
3.167000e-10, 0.42e-6, 0.63e-6, 7.51e-6, 1.64e-6, 7.46e-6, 1.344000e-05, 1.766342e-05, 1.50, 11.90, 0.22, 4.54, 1.80, 4.54, 3.99
3.169000e-10, 0.42e-6, 12.96e-6, 7.09e-6, 12.63e-6, 12.40e-6, 1.344000e-05, 4.550557e-05, 30.86, 0.55, 1.78, 0.98, 1.08, 8.54, 7.05
3.170000e-10, 0.42e-6, 1.06e-6, 10.09e-6, 1.37e-6, 7.01e-6, 1.344000e-05, 1.995405e-05, 2.53, 9.48, 0.14, 5.10, 1.92, 4.31, 3.83
3.171000e-10, 0.42e-6, 1.62e-6, 1.72e-6, 3.52e-6, 10.44e-6, 1.344000e-05, 1.772266e-05, 3.87, 1.06, 2.05, 2.96, 1.29, 2.49, 2.25
3.172000e-10, 0.42e-6, 3.22e-6, 7.24e-6, 2.77e-6, 3.08e-6, 1.344000e-05, 1.672692e-05, 7.66, 2.25, 0.38, 1.11, 4.36, 2.85, 3.15
3.173000e-10, 0.42e-6, 11.99e-6, 13.37e-6, 0.77e-6, 11.12e-6, 1.344000e-05, 3.767110e-05, 28.55, 1.12, 0.06, 14.47, 1.21, 11.05, 9.08
3.174000e-10, 0.42e-6, 11.05e-6, 9.14e-6, 13.42e-6, 11.64e-6, 1.344000e-05, 4.567045e-05, 26.32, 0.83, 1.47, 0.87, 1.15, 7.37, 6.13
3.176000e-10, 0.42e-6, 11.88e-6, 1.12e-6, 2.12e-6, 6.64e-6, 1.344000e-05, 2.217676e-05, 28.29, 0.09, 1.89, 3.14, 2.02, 8.35, 7.09
3.179000e-10, 0.42e-6, 2.28e-6, 8.00e-6, 11.73e-6, 6.44e-6, 1.344000e-05, 2.886498e-05, 5.42, 3.52, 1.47, 0.55, 2.09, 2.74, 2.61
3.182000e-10, 0.42e-6, 7.36e-6, 6.46e-6, 4.87e-6, 11.86e-6, 1.344000e-05, 3.097242e-05, 17.52, 0.88, 0.75, 2.43, 1.13, 5.40, 4.54
3.183000e-10, 0.42e-6, 1.60e-6, 4.41e-6, 1.75e-6, 12.35e-6, 1.344000e-05, 2.052926e-05, 3.82, 2.75, 0.40, 7.06, 1.09, 3.51, 3.02
3.184000e-10, 0.42e-6, 10.80e-6, 9.65e-6, 6.32e-6, 10.52e-6, 1.344000e-05, 3.770684e-05, 25.71, 0.89, 0.66, 1.66, 1.28, 7.23, 6.04
3.185000e-10, 0.42e-6, 4.43e-6, 8.18e-6, 5.97e-6, 6.78e-6, 1.344000e-05, 2.579096e-05, 10.56, 1.84, 0.73, 1.14, 1.98, 3.57, 3.25
3.186000e-10, 0.42e-6, 5.85e-6, 10.73e-6, 7.35e-6, 8.25e-6, 1.344000e-05, 3.259355e-05, 13.92, 1.84, 0.69, 1.12, 1.63, 4.39, 3.84
3.187000e-10, 0.42e-6, 12.93e-6, 8.81e-6, 5.95e-6, 8.09e-6, 1.344000e-05, 3.620433e-05, 30.80, 0.68, 0.68, 1.36, 1.66, 8.38, 7.03
3.190000e-10, 0.42e-6, 7.82e-6, 3.39e-6, 12.00e-6, 0.44e-6, 1.344000e-05, 2.407387e-05, 18.62, 0.43, 3.54, 0.04, 30.42, 5.66, 10.61
3.192000e-10, 0.42e-6, 1.59e-6, 12.66e-6, 0.56e-6, 12.70e-6, 1.344000e-05, 2.794164e-05, 3.80, 7.94, 0.04, 22.71, 1.06, 8.62, 7.11
3.193000e-10, 0.42e-6, 3.87e-6, 4.98e-6, 7.13e-6, 2.44e-6, 1.344000e-05, 1.883430e-05, 9.21, 1.29, 1.43, 0.34, 5.51, 3.07, 3.56
3.194000e-10, 0.42e-6, 13.25e-6, 5.79e-6, 1.87e-6, 1.01e-6, 1.344000e-05, 2.234589e-05, 31.55, 0.44, 0.32, 0.54, 13.32, 8.21, 9.23
3.195000e-10, 0.42e-6, 10.32e-6, 2.71e-6, 10.09e-6, 0.70e-6, 1.344000e-05, 2.425013e-05, 24.57, 0.26, 3.72, 0.07, 19.20, 7.16, 9.56
3.196000e-10, 0.42e-6, 12.03e-6, 9.95e-6, 2.66e-6, 11.54e-6, 1.344000e-05, 3.660702e-05, 28.65, 0.83, 0.27, 4.34, 1.16, 8.52, 7.05
3.198000e-10, 0.42e-6, 12.37e-6, 8.79e-6, 11.34e-6, 11.81e-6, 1.344000e-05, 4.472346e-05, 29.45, 0.71, 1.29, 1.04, 1.14, 8.12, 6.73
3.199000e-10, 0.42e-6, 9.47e-6, 6.16e-6, 7.25e-6, 7.82e-6, 1.344000e-05, 3.111801e-05, 22.55, 0.65, 1.18, 1.08, 1.72, 6.36, 5.43
3.200000e-10, 0.42e-6, 7.39e-6, 7.44e-6, 2.37e-6, 6.78e-6, 1.344000e-05, 2.439940e-05, 17.59, 1.01, 0.32, 2.86, 1.98, 5.44, 4.75
3.201000e-10, 0.42e-6, 6.88e-6, 6.40e-6, 5.01e-6, 9.53e-6, 1.344000e-05, 2.823967e-05, 16.38, 0.93, 0.78, 1.90, 1.41, 5.00, 4.28
3.202000e-10, 0.42e-6, 5.15e-6, 6.46e-6, 1.12e-6, 4.64e-6, 1.344000e-05, 1.778127e-05, 12.25, 1.26, 0.17, 4.14, 2.90, 4.45, 4.14
3.204000e-10, 0.42e-6, 12.04e-6, 0.52e-6, 2.71e-6, 6.61e-6, 1.344000e-05, 2.230665e-05, 28.67, 0.04, 5.19, 2.44, 2.03, 9.08, 7.67
3.205000e-10, 0.42e-6, 5.47e-6, 10.31e-6, 6.43e-6, 1.53e-6, 1.344000e-05, 2.416438e-05, 13.02, 1.89, 0.62, 0.24, 8.77, 3.94, 4.91
3.207000e-10, 0.42e-6, 3.36e-6, 5.58e-6, 6.94e-6, 3.77e-6, 1.344000e-05, 2.007288e-05, 8.00, 1.66, 1.24, 0.54, 3.56, 2.86, 3.00
